City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,jamame,0.0722,42.7506,79.75,83,100,7.43,SO,1651374794
126,staraya kulatka,52.7167,47.6167,38.08,76,5,12.62,RU,1651374794
127,neuquen,-38.9516,-68.0591,46.29,66,0,0.0,AR,1651374635
128,mahebourg,-20.4081,57.7,73.26,83,19,9.08,MU,1651374795
129,maputo,-25.9653,32.5892,67.23,78,40,14.0,MZ,1651374795
130,santa maria,-29.6842,-53.8069,58.08,96,98,6.69,BR,1651374635
131,aniva,46.7144,142.5294,51.91,58,100,9.84,RU,1651374796
132,ampanihy,-24.7,44.75,67.46,80,86,6.38,MG,1651374797
133,pasni,25.2631,63.471,85.44,68,97,14.25,PK,1651374798
134,qena,26.1615,32.7183,75.54,21,19,7.25,EG,1651374798
135,fort nelson,58.8053,-122.7002,37.63,96,89,6.13,CA,1651374557
136,quelimane,-17.8786,36.8883,66.54,95,2,2.55,MZ,1651374799
137,waingapu,-9.6567,120.2641,87.01,66,77,13.0,ID,1651374799
138,geraldton,-28.7667,114.6,81.01,29,0,13.8,AU,1651374800
139,loncoche,-39.3667,-72.6333,41.09,97,31,2.13,CL,1651374800
140,narodychi,51.2029,29.0823,41.05,79,69,3.42,UA,1651374801
141,corrente,-3.7367,-43.3394,71.35,98,64,2.37,BR,1651374802
142,naze,28.3667,129.4833,64.74,66,100,12.44,JP,1651374802
143,san ignacio,17.1561,-89.0714,82.54,78,0,0.0,BZ,1651374803
144,ostrovnoy,68.0531,39.5131,16.77,87,90,10.38,RU,1651374803
145,samarai,-10.6167,150.6667,82.17,74,86,7.99,PG,1651374804
146,copiapo,-27.3667,-70.3333,53.29,67,41,0.38,CL,1651374567
147,shepsi,44.0361,39.1489,55.96,93,100,1.57,RU,1651374805
148,dubai,25.2582,55.3047,80.85,57,0,5.75,AE,1651374806
149,port augusta,-32.5,137.7667,67.93,44,0,4.16,AU,1651374806
150,kyren,51.6828,102.1408,65.35,31,80,1.45,RU,1651374807
151,rabo de peixe,37.8,-25.5833,61.29,81,20,3.44,PT,1651374808
152,lucapa,-8.4192,20.7447,67.71,90,100,2.84,AO,1651374808
153,verkhnyaya inta,65.9811,60.3094,25.92,90,98,10.6,RU,1651374809
154,storsteinnes,69.2408,19.2344,31.37,94,100,4.7,NO,1651374809
155,butaritari,3.0707,172.7902,81.48,79,28,13.2,KI,1651374810
156,tiksi,71.6872,128.8694,34.45,94,100,11.92,RU,1651374810
157,bowral,-34.4667,150.4167,64.06,44,6,3.29,AU,1651374811
158,saint anthony,45.0205,-93.218,50.05,93,100,12.66,US,1651374811
159,rapar,23.5667,70.6333,88.43,52,0,13.18,IN,1651374812
160,chokurdakh,70.6333,147.9167,23.79,88,66,10.56,RU,1651374813
161,souillac,-20.5167,57.5167,75.2,87,25,8.25,MU,1651374814
162,chicama,-7.8447,-79.1469,61.34,83,61,6.24,PE,1651374814
163,pangoa,-12.1167,-73.0,66.52,96,72,2.04,PE,1651374815
164,barrow,71.2906,-156.7887,26.62,80,100,11.5,US,1651374815
165,belyy yar,53.6039,91.3903,66.85,30,0,4.47,RU,1651374816
166,bluff,-46.6,168.3333,52.81,96,100,2.35,NZ,1651374816
167,nuuk,64.1835,-51.7216,25.41,80,20,13.8,GL,1651374817
168,toyooka,35.5333,134.8333,60.1,68,100,4.59,JP,1651374817
